0.5,0.5,2,How to convert binary string value to decimal,{'java.lang.Integer.parseInt'},26
1.0,1.0,1,How can I use html styles in strings with format arguments,{'java.lang.String.format'},18
0.1111111111111111,0.1111111111111111,9,Converting a sentence string to a string array of words in Java,{'java.lang.String.split'},31
0.3333333333333333,0.3333333333333333,3,"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",{'java.lang.Class.forName'},14
0.06666666666666667,0.03333333333333333,15,How to timeout a thread,"{'java.util.concurrent.Future.get', 'java.lang.Thread.interrupted'}",27
1.0,1.0,1,How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,{'java.util.Iterator.remove'},15
0.0,0.0,-1,How to hide cursor in a Swing application,"{'java.awt.Toolkit.createCustomCursor', 'java.awt.Cursor.getDefaultCursor'}",10
1.0,1.0,1,How to generate a random permutation in Java,{'java.util.Collections.shuffle'},18
1.0,1.0,1,Java generating Strings with placeholders,{'java.lang.String.format'},19
0.5,0.5,2,Collect Linux command output,{'java.lang.Process.getInputStream'},17
1.0,1.0,1,How to subtract X days from a date using Java calendar,{'java.util.Calendar.add'},30
1.0,1.0,1,How do I make my ArrayList Thread-Safe? Another approach to problem in Java,{'java.util.Collections.synchronizedList'},12
1.0,0.8333333333333333,1,First char to upper case,"{'java.lang.String.charAt', 'java.lang.Character.toUpperCase'}",28
1.0,1.0,1,Grouping elements of a list into sublists (maybe by using guava),{'java.util.stream.Collectors.groupingBy'},25
0.5,0.5,2,Escaping special characters in Java Regular Expressions,{'java.util.regex.Pattern.quote'},11
0.5,0.25,2,How do I get localized date pattern string,"{'java.text.SimpleDateFormat.toLocalizedPattern', 'java.time.format.DateTimeFormatter.ofLocalizedDate'}",33
1.0,0.8333333333333333,1,Setting the default Java character encoding,"{'java.lang.String.getBytes', 'java.nio.charset.Charset.defaultCharset'}",22
1.0,1.0,1,16 bit hex string to signed int in Java,{'java.lang.Integer.parseInt'},24
